timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 00:00:09,101450,7800.50000000,7801.00000000,5100
2020-04-28 00:00:19,39270,7801.50000000,7802.00000000,41620
2020-04-28 00:00:29,118010,7802.00000000,7802.50000000,45310
2020-04-28 00:00:39,90,7801.00000000,7802.00000000,20
2020-04-28 00:00:49,20,7787.50000000,7788.50000000,30
2020-04-28 00:00:59,129600,7779.00000000,7779.50000000,20
2020-04-28 00:01:09,119510,7784.50000000,7785.00000000,20
2020-04-28 00:01:19,1000,7783.50000000,7787.00000000,380
2020-04-28 00:01:29,118850,7783.50000000,7784.00000000,100
2020-04-28 00:01:39,143420,7783.50000000,7784.00000000,80
2020-04-28 00:01:49,82250,7783.50000000,7784.00000000,100
2020-04-28 00:01:59,56570,7781.50000000,7782.00000000,20
2020-04-28 00:02:09,27350,7773.50000000,7774.00000000,89350
2020-04-28 00:02:19,15500,7757.00000000,7760.00000000,1640
2020-04-28 00:02:29,19380,7757.50000000,7762.00000000,4730
2020-04-28 00:02:39,20,7752.50000000,7753.50000000,20
2020-04-28 00:02:49,20,7755.00000000,7755.50000000,68410
2020-04-28 00:02:59,27660,7760.50000000,7762.00000000,730
2020-04-28 00:03:09,10,7766.00000000,7766.50000000,53810
2020-04-28 00:03:19,20,7759.50000000,7760.50000000,20
2020-04-28 00:03:29,20,7759.50000000,7760.50000000,1250
2020-04-28 00:03:39,1020,7759.50000000,7760.50000000,20
2020-04-28 00:03:49,86720,7760.00000000,7761.00000000,60
2020-04-28 00:03:59,20,7762.00000000,7762.50000000,84790
2020-04-28 00:04:09,20720,7761.50000000,7762.00000000,21550
2020-04-28 00:04:19,130530,7765.00000000,7765.50000000,1770
2020-04-28 00:04:29,18820,7765.00000000,7765.50000000,3770
2020-04-28 00:04:39,540,7765.00000000,7765.50000000,6020
2020-04-28 00:04:49,4040,7765.00000000,7765.50000000,20300
2020-04-28 00:04:59,1540,7765.00000000,7765.50000000,23200
2020-04-28 00:05:09,5520,7765.00000000,7765.50000000,92510
2020-04-28 00:05:19,900,7765.00000000,7765.50000000,32120
2020-04-28 00:05:29,1400,7765.00000000,7765.50000000,104600
2020-04-28 00:05:39,900,7765.00000000,7765.50000000,108630
2020-04-28 00:05:49,900,7765.00000000,7765.50000000,113840
2020-04-28 00:05:59,450,7756.50000000,7757.00000000,72610
2020-04-28 00:06:09,980,7756.50000000,7757.00000000,55710
2020-04-28 00:06:19,15880,7756.50000000,7757.00000000,55580
2020-04-28 00:06:29,66600,7756.50000000,7757.00000000,53060
2020-04-28 00:06:39,21600,7756.50000000,7757.00000000,53620
2020-04-28 00:06:49,20900,7756.50000000,7757.00000000,24220
2020-04-28 00:06:59,40000,7756.50000000,7757.00000000,13790
2020-04-28 00:07:09,61530,7756.50000000,7757.00000000,510
2020-04-28 00:07:19,620,7763.50000000,7764.00000000,89130
2020-04-28 00:07:29,1620,7763.50000000,7764.00000000,29210
2020-04-28 00:07:39,21320,7763.50000000,7764.00000000,19380
2020-04-28 00:07:49,620,7763.50000000,7764.00000000,64470
2020-04-28 00:07:59,90,7762.00000000,7762.50000000,152680
2020-04-28 00:08:09,58260,7761.00000000,7761.50000000,4000
2020-04-28 00:08:19,36600,7761.00000000,7761.50000000,18330
2020-04-28 00:08:29,24800,7761.00000000,7761.50000000,17330
